name,recclass,mass,year,longitude,latitude,country,continent
Segowlie,LL6,6930,1853,84.7825106,26.7509115,India,Asia
Tazewell,"Iron, IAB-sLH",27000,1853,-83.749237,36.433587,United States,North America
Union County,"Iron, IC",6800,1853,31.2617899,29.9551279,Egypt,Africa
Linum,L6,1862,1854,12.9,52.75,Germany,Europe
Cranbourne,"Iron, IAB-MG",8600000,1854,145.3005025,-38.0995477,Australia,Oceania
Duel Hill (1854),"Iron, IVA",21800,1854,-82.7000144,35.8499739,United States,North America
Emmitsburg,"Iron, IIIAB?",450,1854,-77.302482,39.712409,United States,North America
Madoc,"Iron, IIIAB",168000,1854,-77.468239,44.5020325,Canada,North America
Oktibbeha County,"Iron, IAB-ung",156,1854,52.6192688,29.5773552,Iran,Asia
Sarepta,"Iron, IAB-MG",14000,1854,44.7907753,48.4252747,Russia,Europe
Tabarz,"Iron, IAB-MG",150,1854,10.5165594,50.8822769,Germany,Europe
Verkhne Udinsk,"Iron, IIIAB",18000,1854,not found,not found,not found,not found
Avilez,H,146,1855,45.4228676,35.5603478,Iraq,Asia
Bremervörde,H/L3.9,7250,1855,9.1006601,53.39672,Germany,Europe
Oesel,L6,6000,1855,-84.7403278,9.9760167,Costa Rica,North America
Petersburg,Eucrite-pmict,1800,1855,-86.6334584,35.2999582,United States,North America
Sabetmahet,H5,1250,1855,82.1082862,27.4214274,India,Asia
St. Denis Westrem,L6,700,1855,3.7500636,51.0498176,Belgium,Europe
Barranca Blanca,"Iron, IIE-an",12000,1855,not found,not found,not found,not found
Narraburra,"Iron, IIIAB",32200,1855,147.7143301,-34.2489047,Australia,Oceania
Orange River (iron),"Iron, IIIAB",148800,1855,139.4511173,35.3257314,Japan,Asia
Oviedo,H5,205,1856,-5.8554908,43.4076488,Spain,Europe
Trenzano,H3/4,11800,1856,18.5458879,51.1429752,Poland,Europe
Denton County,"Iron, IIIAB",5400,1856,-77.5941561,44.1198459,Canada,North America
Fort Pierre,"Iron, IIIAB",15900,1856,-100.381443,44.35074,United States,North America
Hainholz,Mesosiderite-A4,16500,1856,8.9188969,52.2855327,Germany,Europe
Nelson County,"Iron, IIIF",73030,1856,-85.49679,37.765768,United States,North America
Heredia,H5,1000,1857,6.9714457,49.2828623,Germany,Europe
Kaba,CV3,3000,1857,21.2742641,47.3576246,Hungary,Europe
Les Ormes,L6,125,1857,3.2317138,48.3459748,France,Europe
Ohaba,H5,16250,1857,23.5828181,46.0669927,Romania,Europe
Parnallee,LL3.6,77600,1857,78.3648192,9.2483096,India,Asia
Quenggouk,H4,6045,1857,95.1771115,17.7669845,Myanmar,Asia
Stavropol,L6,1500,1857,41.9830665,45.0498671,Russia,Europe
Laurens County,"Iron, ungrouped",2150,1857,-82.0334224,34.5000707,United States,North America
Locust Grove,"Iron, IIAB",10000,1857,-84.1000242,33.3333241,United States,North America
Mincy,Mesosiderite-B4,89400,1857,-93.1101783,36.5642307,United States,North America
Ausson,L5,50000,1858,0.583008,43.0823668,France,Europe
Kakowa,L6,577,1858,21.6410742,45.1404537,Romania,Europe
Molina,H5,144000,1858,-1.1688428,38.1170103,Spain,Europe
Zmenj,Howardite,246,1858,26.832481,51.8338914,Belarus,Europe
Augusta County,"Iron, IIIAB",76000,1858,-79.083339,38.1666507,United States,North America
Joel's Iron,"Iron, IIIAB",1300,1858,-62.8251692,-41.0440087,Argentina,South America
Trenton,"Iron, IIIAB",505000,1858,-88.1406194,43.368541,United States,North America
Wooster,"Iron, IAB-sLL",22700,1858,-81.9442318,40.7552741,United States,North America
Bethlehem,H,13.9,1859,-73.8338319,42.5341143,United States,North America
Beuste,L5,2000,1859,-0.2333012,43.2165631,France,Europe
Harrison County,L6,680,1859,-86.167597,38.249848,United States,North America
Pampanga,L5,10500,1859,120.6987695,15.0840771,Philippines,Asia
Tombigbee River,"Iron, IIG",43000,1859,-88.221533,32.235338,United States,North America
Alessandria,H5,908,1860,8.7556754,44.8813815,Italy,Europe
Dhurmsala,LL6,32000,1860,76.5359534,32.1095492,India,Asia
Kheragur,L6,450,1860,77.8198528,26.9415066,India,Asia
Kusiali,L6,5,1860,78.3640134,29.662764,India,Asia
New Concord,L6,230000,1860,2.1452192,43.9340357,France,Europe
Sologne,H5,54,1860,1.7335323,47.3666949,France,Europe
Cleveland,"Iron, IIIAB",115000,1860,-84.7843164,34.8831973,United States,North America
Coopertown,"Iron, IIIE",16800,1860,134.0598708,34.036563,Japan,Asia
La Grange,"Iron, IVA",50800,1860,-85.367022,38.400099,United States,North America
Marshall County,"Iron, IIIAB",6800,1860,12.620616,45.4949487,Italy,Europe
Victoria West,"Iron, IAB-sHL",2950,1860,not found,not found,not found,not found
Butsura,H6,29000,1861,84.0893554,27.0979483,India,Asia
Cañellas,H4,945,1861,1.672128,41.255234,Spain,Europe
Grosnaja,CV3,3500,1861,45.3781337,43.66597,Russia,Europe
Meerut,H5,22,1861,77.7061915,28.9963296,India,Asia
Lutschaunig's Stone,L6,100000,1861,27.4632244,53.8948693,Belarus,Europe
Vaca Muerta,Mesosiderite-A1,3828000,1861,-70.4522175,-25.7456245,Chile,South America
Menow,H4,10500,1862,13.1486736,53.1839141,Germany,Europe
Sevilla,LL4,180,1862,12.9121459,56.3157469,Sweden,Europe
Kokomo,"Iron, IVB",1800,1862,-86.364742,40.487023,United States,North America
Buschhof,L6,5000,1863,25.7831205,46.4545253,Romania,Europe
Manbhoom,LL6,1700,1863,86.6119782,23.0644322,India,Asia
Pillistfer,EL6,23250,1863,25.7099739,58.6758068,Estonia,Europe
Pulsora,H5,560,1863,75.1821971,23.3168787,India,Asia
Shytal,L6,3200,1863,90.1631718,24.3337139,Bangladesh,Asia
Tourinnes-la-Grosse,L6,14500,1863,4.7668253,50.7818679,Belgium,Europe
Bacubirito,"Iron, ungrouped",22000000,1863,not found,not found,not found,not found
Copiapo,"Iron, IAB-MG",20000,1863,-70.3999612,-27.2942916,Chile,South America
Obernkirchen,"Iron, IVA",41000,1863,9.0991068,52.2631072,Germany,Europe
Russel Gulch,"Iron, IIIAB",13200,1863,-105.4997096,39.8002805,United States,North America
Smith's Mountain,"Iron, IIIAB",5000,1863,30.79324,1.157235,Uganda,Africa
St. Francois County,"Iron, IC",3600,1863,-90.5080582,37.7614078,United States,North America
Tomhannock Creek,H5,1500,1863,-73.6000749,42.8830138,United States,North America
Wabar,"Iron, IIIAB",2550000,1863,50.4719486,21.5040054,Saudi Arabia,Asia
Wairarapa Valley,H6,6000,1863,175.2134183,-41.2122294,New Zealand,Oceania
Dolgovoli,L6,1600,1864,25.2996963,50.7495561,Ukraine,Europe
Nerft,L6,10250,1864,21.5000437,56.5001469,Latvia,Europe
Orgueil,CI1,14000,1864,1.3789955,43.8804484,France,Europe
Tamentit,"Iron, IIIAB",510000,1864,-0.2657533,27.7613334,Algeria,Africa
Aumale,L6,50000,1865,3.5764474,36.1290268,Algeria,Africa
Dundrum,H5,2270,1865,-8.0303975,52.5508237,Ireland,Europe
Gopalpur,H6,1600,1865,not found,not found,not found,not found
Muddoor,L5,4400,1865,77.0170332,12.6327724,India,Asia
Shergotty,Martian (shergottite),5000,1865,84.8267796,24.5542142,India,Asia
Supuhee,H6,7235,1865,84.2306757,26.7231887,India,Asia
Vernon County,H6,1500,1865,-91.1672046,43.5003817,United States,North America
Dellys,Iron,76,1865,3.9165402,36.91761,Algeria,Africa
Cangas de Onis,H5,34000,1866,-5.1477247,43.3870095,Spain,Europe
Jamkheir,H6,22,1866,75.4091464,18.7769659,India,Asia
Knyahinya,L/LL5,500000,1866,22.3980464,48.9007034,Slovakia,Europe
Pokhra,H5,350,1866,82.6658803,26.7138306,India,Asia
Sone,H5,17100,1866,135.332086,35.167835,Japan,Asia
St. Mesmin,LL6,8300,1866,3.9325263,48.4468534,France,Europe
Udipi,H5,3600,1866,74.7845562,13.4831602,India,Asia
Bear Creek,"Iron, IIIAB",227000,1866,-105.2972789,39.5996819,United States,North America
Dehesa,"Iron, ungrouped",280,1866,-70.500333,-33.4985883,Chile,South America
Frankfort (iron),"Iron, IIIAB",10900,1866,-84.8330664,38.2003345,United States,North America
Juncal,"Iron, IIIAB",104000,1866,39.8708967,40.0521986,Turkey,Asia
Rushville,L5,50,1866,-85.4492731,39.6190613,United States,North America
Khetri,H6,100,1867,75.8160265,28.0121252,India,Asia
Otomi,H,6510,1867,140.3571721,38.4007959,Japan,Asia
Tadjera,L5,9000,1867,5.4166541,36.183695,Algeria,Africa
Auburn,"Iron, IIG",3630,1867,-85.5001598,32.6334272,United States,North America
Ballarat,"Iron, IAB complex",15,1867,143.8234478,-37.5704169,Australia,Oceania
Cacaria,"Iron, IIIAB",41400,1867,-104.7751826,24.5253288,Mexico,North America
Casas Grandes,"Iron, IIIAB",1545000,1867,-107.9058804,30.4154532,Mexico,North America
Scottsville,"Iron, IIAB",10000,1867,-86.170775,36.766838,United States,North America
Daniel's Kuil,EL6,1064,1868,24.5125118,-28.34465,South Africa,Africa
Danville,L6,2000,1868,-87.066021,34.399756,United States,North America
Frankfort (stone),Howardite,650,1868,-87.8328577,34.4837395,United States,North America
Lodran,Lodranite,1000,1868,71.7984871,29.5254,Pakistan,Asia
Moti-ka-nagla,H6,1500,1868,77.3432327,26.8438474,India,Asia
Motta di Conti,H4,9150,1868,8.4994144,45.2079728,Italy,Europe
Ornans,CO3.4,6000,1868,6.146835,47.112481,France,Europe
Pnompehn,L6,96,1868,104.9167705,11.5832373,Cambodia,Asia
Pultusk,H5,250000,1868,21.2885724,52.764943,Poland,Europe
Sauguis,L6,4000,1868,-0.8426994,43.1476602,France,Europe
Slavetic,H5,1708,1868,15.6110568,45.6761408,Croatia,Europe
Goalpara,Ureilite,2700,1868,90.6020755,26.16007,India,Asia
Losttown,"Iron, IID",3000,1868,-84.498578,34.250346,United States,North America
