name,recclass,mass,year,longitude,latitude,country,continent
Grove Mountains 021920,H5,0.48,2003,not found,not found,not found,not found
Grove Mountains 021924,H5,0.47,2003,not found,not found,not found,not found
Grove Mountains 021933,L5,6.01,2003,not found,not found,not found,not found
Grove Mountains 021934,H4,3.38,2003,not found,not found,not found,not found
Grove Mountains 021935,H5,3.07,2003,not found,not found,not found,not found
Grove Mountains 021936,H5,2.6,2003,not found,not found,not found,not found
Grove Mountains 021938,H5,1.55,2003,not found,not found,not found,not found
Grove Mountains 021944,L6,11.44,2003,not found,not found,not found,not found
Grove Mountains 021945,L6,8.57,2003,not found,not found,not found,not found
Grove Mountains 021946,L5,8.21,2003,not found,not found,not found,not found
Grove Mountains 021947,H4,7.87,2003,not found,not found,not found,not found
Grove Mountains 021948,L6,8,2003,not found,not found,not found,not found
Grove Mountains 021951,H4,5.56,2003,not found,not found,not found,not found
Grove Mountains 021952,L6,3.5,2003,not found,not found,not found,not found
Grove Mountains 021953,H6,3.26,2003,not found,not found,not found,not found
Grove Mountains 021954,L6,4.57,2003,not found,not found,not found,not found
Grove Mountains 021955,L6,3.97,2003,not found,not found,not found,not found
Grove Mountains 021957,L6,4.15,2003,not found,not found,not found,not found
Grove Mountains 021958,L6,3.26,2003,not found,not found,not found,not found
Grove Mountains 021959,L5,3.42,2003,not found,not found,not found,not found
Grove Mountains 021962,L6,2.42,2003,not found,not found,not found,not found
Grove Mountains 021963,L5,2.44,2003,not found,not found,not found,not found
Grove Mountains 021964,H5,2.13,2003,not found,not found,not found,not found
Grove Mountains 021965,L6,4.12,2003,not found,not found,not found,not found
Grove Mountains 021971,L6,2.16,2003,not found,not found,not found,not found
Grove Mountains 021972,L6,1.85,2003,not found,not found,not found,not found
Grove Mountains 021973,H5,1.8,2003,not found,not found,not found,not found
Grove Mountains 021975,H5,1.8,2003,not found,not found,not found,not found
Grove Mountains 021976,L6,8.36,2003,not found,not found,not found,not found
Grove Mountains 021977,H5,5.66,2003,not found,not found,not found,not found
Grove Mountains 021980,H4,2.57,2003,not found,not found,not found,not found
Grove Mountains 021982,L5,2.44,2003,not found,not found,not found,not found
Grove Mountains 021984,H6,2.13,2003,not found,not found,not found,not found
Grove Mountains 021987,H5,2.06,2003,not found,not found,not found,not found
Grove Mountains 021989,L6,1.58,2003,not found,not found,not found,not found
Grove Mountains 021990,L6,1.3,2003,not found,not found,not found,not found
Grove Mountains 021992,CV3,1.1,2003,not found,not found,not found,not found
Grove Mountains 021995,H6,3.48,2003,not found,not found,not found,not found
Grove Mountains 021998,H4,2.12,2003,not found,not found,not found,not found
Grove Mountains 022002,H4,0.99,2003,not found,not found,not found,not found
Grove Mountains 022003,H4,0.81,2003,not found,not found,not found,not found
Grove Mountains 022004,H5,0.59,2003,not found,not found,not found,not found
Grove Mountains 022005,L6,8.93,2003,not found,not found,not found,not found
Grove Mountains 022006,L6,1.82,2003,not found,not found,not found,not found
Grove Mountains 022011,L5,2.63,2003,not found,not found,not found,not found
Grove Mountains 022012,L6,1.29,2003,not found,not found,not found,not found
Grove Mountains 022013,L5,3.9,2003,not found,not found,not found,not found
Grove Mountains 022018,LL6,3.5,2003,not found,not found,not found,not found
Grove Mountains 022020,L4,0.69,2003,not found,not found,not found,not found
Grove Mountains 022021,LL5,2953,2003,not found,not found,not found,not found
Grove Mountains 022022,L5,228.6,2003,not found,not found,not found,not found
Grove Mountains 022023,L5,102.91,2003,not found,not found,not found,not found
Grove Mountains 022024,L5,405.9,2003,not found,not found,not found,not found
Grove Mountains 022025,L6,101.39,2003,not found,not found,not found,not found
Grove Mountains 022026,L5,73.32,2003,not found,not found,not found,not found
Grove Mountains 022027,L5,169.65,2003,not found,not found,not found,not found
Grove Mountains 022028,L5,244.9,2003,not found,not found,not found,not found
Grove Mountains 022029,L6,245.5,2003,not found,not found,not found,not found
Grove Mountains 022030,L5,119.14,2003,not found,not found,not found,not found
Grove Mountains 022031,L6,39.86,2003,not found,not found,not found,not found
Grove Mountains 022032,L6,204.8,2003,not found,not found,not found,not found
Grove Mountains 022033,L5,398.7,2003,not found,not found,not found,not found
Grove Mountains 022034,L5,345,2003,not found,not found,not found,not found
Grove Mountains 022035,L6,107.26,2003,not found,not found,not found,not found
Grove Mountains 022036,L5,96.54,2003,not found,not found,not found,not found
Grove Mountains 022037,L6,935.9,2003,not found,not found,not found,not found
Grove Mountains 022038,L5,1012,2003,not found,not found,not found,not found
Grove Mountains 022039,L5,160.67,2003,not found,not found,not found,not found
Grove Mountains 022040,L5,589.5,2003,not found,not found,not found,not found
Grove Mountains 022041,L5,96.74,2003,not found,not found,not found,not found
Grove Mountains 022042,L5,218.1,2003,not found,not found,not found,not found
Grove Mountains 022043,L6,208.7,2003,not found,not found,not found,not found
Grove Mountains 022044,L6,152.14,2003,not found,not found,not found,not found
Grove Mountains 022045,L6,47.76,2003,not found,not found,not found,not found
Grove Mountains 022046,L6,4.04,2003,not found,not found,not found,not found
Grove Mountains 022047,L6,5.48,2003,not found,not found,not found,not found
Grove Mountains 022048,L6,4.19,2003,not found,not found,not found,not found
Grove Mountains 022049,L6,3.44,2003,not found,not found,not found,not found
Grove Mountains 022052,L6,2.48,2003,not found,not found,not found,not found
Grove Mountains 022053,L6,2.1,2003,not found,not found,not found,not found
Grove Mountains 022054,L5,2.13,2003,not found,not found,not found,not found
Grove Mountains 022055,L5,1.81,2003,not found,not found,not found,not found
Grove Mountains 022056,L6,2.16,2003,not found,not found,not found,not found
Grove Mountains 022061,L5,0.56,2003,not found,not found,not found,not found
Grove Mountains 022064,L6,1.29,2003,not found,not found,not found,not found
Grove Mountains 022065,L6,1.15,2003,not found,not found,not found,not found
Grove Mountains 022066,L6,1.29,2003,not found,not found,not found,not found
Grove Mountains 022068,L6,1.07,2003,not found,not found,not found,not found
Grove Mountains 022069,L5,0.98,2003,not found,not found,not found,not found
Grove Mountains 022077,L6,0.44,2003,not found,not found,not found,not found
Grove Mountains 022081,L5,0.44,2003,not found,not found,not found,not found
Grove Mountains 022088,L6,0.48,2003,not found,not found,not found,not found
Grove Mountains 022096,LL4,0.64,2003,not found,not found,not found,not found
Grove Mountains 022099,L6,2.55,2003,not found,not found,not found,not found
Grove Mountains 022100,L5,1.56,2003,not found,not found,not found,not found
Grove Mountains 022107,H4,1.05,2003,not found,not found,not found,not found
Grove Mountains 022109,H5,0.54,2003,not found,not found,not found,not found
Grove Mountains 022112,L6,365.6,2003,not found,not found,not found,not found
Grove Mountains 022113,L6,33.49,2003,not found,not found,not found,not found
Grove Mountains 022114,L6,171.43,2003,not found,not found,not found,not found
Grove Mountains 022115,L6,79.63,2003,not found,not found,not found,not found
Grove Mountains 022116,L6,69.62,2003,not found,not found,not found,not found
Grove Mountains 022117,L5,32.28,2003,not found,not found,not found,not found
Grove Mountains 022118,L6,46.03,2003,not found,not found,not found,not found
Grove Mountains 022119,L5,27.2,2003,not found,not found,not found,not found
Grove Mountains 022120,L6,363,2003,not found,not found,not found,not found
Grove Mountains 022121,L6,107.56,2003,not found,not found,not found,not found
Grove Mountains 022122,L6,45.92,2003,not found,not found,not found,not found
Grove Mountains 022123,L5,103.12,2003,not found,not found,not found,not found
Grove Mountains 022124,L6,22.75,2003,not found,not found,not found,not found
Grove Mountains 022125,L6,47.14,2003,not found,not found,not found,not found
Grove Mountains 022126,L5,47.98,2003,not found,not found,not found,not found
Grove Mountains 022127,L5,39.15,2003,not found,not found,not found,not found
Grove Mountains 022128,L5,31.14,2003,not found,not found,not found,not found
Grove Mountains 022129,L6,30.24,2003,not found,not found,not found,not found
Grove Mountains 022130,L6,30.54,2003,not found,not found,not found,not found
Grove Mountains 022131,L6,24.75,2003,not found,not found,not found,not found
Grove Mountains 022132,L6,23.92,2003,not found,not found,not found,not found
Grove Mountains 022133,L6,21.37,2003,not found,not found,not found,not found
Grove Mountains 022134,L6,19.99,2003,not found,not found,not found,not found
Grove Mountains 022135,L6,17.33,2003,not found,not found,not found,not found
Grove Mountains 022136,L6,12.34,2003,not found,not found,not found,not found
Grove Mountains 022137,L6,6.59,2003,not found,not found,not found,not found
Grove Mountains 022138,L6,69.47,2003,not found,not found,not found,not found
Grove Mountains 022139,L6,40.9,2003,not found,not found,not found,not found
Grove Mountains 022140,L6,36.35,2003,not found,not found,not found,not found
Grove Mountains 022141,L5,26.6,2003,not found,not found,not found,not found
Grove Mountains 022142,L5,23.31,2003,not found,not found,not found,not found
Grove Mountains 022143,L5,14.71,2003,not found,not found,not found,not found
Grove Mountains 022144,L6,8.6,2003,not found,not found,not found,not found
Grove Mountains 022145,L6,31.8,2003,not found,not found,not found,not found
Grove Mountains 022146,L5,20.67,2003,not found,not found,not found,not found
Grove Mountains 022147,L6,21.15,2003,not found,not found,not found,not found
Grove Mountains 022148,L6,17.15,2003,not found,not found,not found,not found
Grove Mountains 022149,L6,17.21,2003,not found,not found,not found,not found
Grove Mountains 022150,L5,14.34,2003,not found,not found,not found,not found
Grove Mountains 022151,L5,12.54,2003,not found,not found,not found,not found
Grove Mountains 022152,L6,6.24,2003,not found,not found,not found,not found
Grove Mountains 022153,L6,19.66,2003,not found,not found,not found,not found
Grove Mountains 022154,L6,19.87,2003,not found,not found,not found,not found
Grove Mountains 022155,L6,21.02,2003,not found,not found,not found,not found
Grove Mountains 022156,L6,18.51,2003,not found,not found,not found,not found
Grove Mountains 022157,L6,15.36,2003,not found,not found,not found,not found
Grove Mountains 022158,L6,14.2,2003,not found,not found,not found,not found
Grove Mountains 022159,L5,13.03,2003,not found,not found,not found,not found
Grove Mountains 022160,L5,610.1,2003,not found,not found,not found,not found
Grove Mountains 022161,L5,26.54,2003,not found,not found,not found,not found
Grove Mountains 022162,L6,140.96,2003,not found,not found,not found,not found
Grove Mountains 022163,L5,94.29,2003,not found,not found,not found,not found
Grove Mountains 022164,L6,14.91,2003,not found,not found,not found,not found
Grove Mountains 022166,L6,8.93,2003,not found,not found,not found,not found
Grove Mountains 022167,L6,6.33,2003,not found,not found,not found,not found
Grove Mountains 022168,L5,139.67,2003,not found,not found,not found,not found
Grove Mountains 022169,L5,93.07,2003,not found,not found,not found,not found
Grove Mountains 022170,L5,79.97,2003,not found,not found,not found,not found
Grove Mountains 022171,L6,73,2003,not found,not found,not found,not found
Grove Mountains 022172,L6,56.95,2003,not found,not found,not found,not found
Grove Mountains 022173,L6,68.33,2003,not found,not found,not found,not found
Grove Mountains 022174,L6,56.05,2003,not found,not found,not found,not found
Grove Mountains 022175,L6,44.46,2003,not found,not found,not found,not found
Grove Mountains 022176,L6,36.6,2003,not found,not found,not found,not found
Grove Mountains 022177,L5,34.47,2003,not found,not found,not found,not found
Grove Mountains 022178,L6,23.94,2003,not found,not found,not found,not found
Grove Mountains 022180,L6,8.44,2003,not found,not found,not found,not found
Grove Mountains 022183,L6,5.82,2003,not found,not found,not found,not found
Grove Mountains 022184,L6,3.44,2003,not found,not found,not found,not found
Grove Mountains 022185,L5,13.26,2003,not found,not found,not found,not found
Grove Mountains 022186,L5,11.99,2003,not found,not found,not found,not found
Grove Mountains 022187,L6,9.74,2003,not found,not found,not found,not found
Grove Mountains 022188,L6,9.68,2003,not found,not found,not found,not found
Grove Mountains 022190,L5,42.08,2003,not found,not found,not found,not found
Grove Mountains 022191,L5,18.76,2003,not found,not found,not found,not found
Grove Mountains 022192,L5,19.03,2003,not found,not found,not found,not found
Grove Mountains 022193,L5,14.8,2003,not found,not found,not found,not found
Grove Mountains 022194,L6,15.57,2003,not found,not found,not found,not found
Grove Mountains 022195,L5,6.33,2003,not found,not found,not found,not found
Grove Mountains 022196,L5,4.33,2003,not found,not found,not found,not found
Grove Mountains 022197,L6,1.1,2003,not found,not found,not found,not found
Grove Mountains 022198,L6,0.66,2003,not found,not found,not found,not found
Grove Mountains 022199,L5,30.08,2003,not found,not found,not found,not found
Grove Mountains 022200,L6,27.79,2003,not found,not found,not found,not found
Grove Mountains 022201,L6,17.37,2003,not found,not found,not found,not found
Grove Mountains 022202,L6,13.9,2003,not found,not found,not found,not found
Grove Mountains 022203,L6,16.21,2003,not found,not found,not found,not found
Grove Mountains 022204,L6,13.98,2003,not found,not found,not found,not found
Grove Mountains 022206,L5,22.5,2003,not found,not found,not found,not found
Grove Mountains 022207,L5,15.83,2003,not found,not found,not found,not found
Grove Mountains 022209,L6,9.86,2003,not found,not found,not found,not found
Grove Mountains 022210,L5,11.76,2003,not found,not found,not found,not found
Grove Mountains 022211,L5,11.09,2003,not found,not found,not found,not found
Grove Mountains 022212,L5,12.07,2003,not found,not found,not found,not found
Grove Mountains 022213,L6,8.75,2003,not found,not found,not found,not found
Grove Mountains 022214,L6,9,2003,not found,not found,not found,not found
Grove Mountains 022215,L5,9.08,2003,not found,not found,not found,not found
Grove Mountains 022217,L6,6,2003,not found,not found,not found,not found
Grove Mountains 022218,L5,3.16,2003,not found,not found,not found,not found
Grove Mountains 022219,L5,100.95,2003,not found,not found,not found,not found
Grove Mountains 022220,L6,12.01,2003,not found,not found,not found,not found
Grove Mountains 022221,L4,29.09,2003,not found,not found,not found,not found
Grove Mountains 022222,L5,125.96,2003,not found,not found,not found,not found
Grove Mountains 022223,L6,71.24,2003,not found,not found,not found,not found
Grove Mountains 022224,L6,15.45,2003,not found,not found,not found,not found
Grove Mountains 022225,L6,6.46,2003,not found,not found,not found,not found
Grove Mountains 022227,L6,14.1,2003,not found,not found,not found,not found
Grove Mountains 022228,L6,46.45,2003,not found,not found,not found,not found
Grove Mountains 022229,L6,18.68,2003,not found,not found,not found,not found
Grove Mountains 022230,L6,14.76,2003,not found,not found,not found,not found
Grove Mountains 022231,L6,9.62,2003,not found,not found,not found,not found
Grove Mountains 022232,L6,9.42,2003,not found,not found,not found,not found
Grove Mountains 022233,L6,8.54,2003,not found,not found,not found,not found
Grove Mountains 022234,L6,7.84,2003,not found,not found,not found,not found
Grove Mountains 022235,L6,5.92,2003,not found,not found,not found,not found
Grove Mountains 022237,L6,14.11,2003,not found,not found,not found,not found
Grove Mountains 022239,L6,8.48,2003,not found,not found,not found,not found
Grove Mountains 022240,L5,6.35,2003,not found,not found,not found,not found
Grove Mountains 022241,L6,3.34,2003,not found,not found,not found,not found
Grove Mountains 022243,L5,2.06,2003,not found,not found,not found,not found
Grove Mountains 022245,H6,1.85,2003,not found,not found,not found,not found
Grove Mountains 022247,L6,1.54,2003,not found,not found,not found,not found
Grove Mountains 022248,L6,4.22,2003,not found,not found,not found,not found
Grove Mountains 022250,L6,2.19,2003,not found,not found,not found,not found
Grove Mountains 022252,L6,1.77,2003,not found,not found,not found,not found
Grove Mountains 022253,L5,3.19,2003,not found,not found,not found,not found
Grove Mountains 022254,L6,2.62,2003,not found,not found,not found,not found
Grove Mountains 022255,L5,2.18,2003,not found,not found,not found,not found
Grove Mountains 022257,H5,1.08,2003,not found,not found,not found,not found
Grove Mountains 022258,L5,5.45,2003,not found,not found,not found,not found
Grove Mountains 022259,L6,3.45,2003,not found,not found,not found,not found
Grove Mountains 022260,L5,2.53,2003,not found,not found,not found,not found
Grove Mountains 022261,L6,2.44,2003,not found,not found,not found,not found
Grove Mountains 022265,L6,2.18,2003,not found,not found,not found,not found
Grove Mountains 022268,L6,8.45,2003,not found,not found,not found,not found
Grove Mountains 022269,L6,8.84,2003,not found,not found,not found,not found
Grove Mountains 022271,L6,5.94,2003,not found,not found,not found,not found
Grove Mountains 022273,L6,3.42,2003,not found,not found,not found,not found
Grove Mountains 022274,L6,3.21,2003,not found,not found,not found,not found
Grove Mountains 022276,L6,2.09,2003,not found,not found,not found,not found
Grove Mountains 022280,L6,6.38,2003,not found,not found,not found,not found
Grove Mountains 022281,L6,4.09,2003,not found,not found,not found,not found
Grove Mountains 022282,L6,43.3,2003,not found,not found,not found,not found
Grove Mountains 022283,L6,8.4,2003,not found,not found,not found,not found
Grove Mountains 022284,L5,11.92,2003,not found,not found,not found,not found
Grove Mountains 022285,L5,37.06,2003,not found,not found,not found,not found
Grove Mountains 022287,L5,11.07,2003,not found,not found,not found,not found
Grove Mountains 022288,L6,33.02,2003,not found,not found,not found,not found
Grove Mountains 022289,L6,38.14,2003,not found,not found,not found,not found
Grove Mountains 022291,L5,12.24,2003,not found,not found,not found,not found
Grove Mountains 022294,L4,1.19,2003,not found,not found,not found,not found
Grove Mountains 022295,L5,1.3,2003,not found,not found,not found,not found
Grove Mountains 022296,L5,1.57,2003,not found,not found,not found,not found
Grove Mountains 022297,L6,1.52,2003,not found,not found,not found,not found
Grove Mountains 022298,L6,1.02,2003,25.2906,60.33391,Finland,Europe
Grove Mountains 022301,L6,1.02,2003,not found,not found,not found,not found
Grove Mountains 022305,L6,0.59,2003,not found,not found,not found,not found
Grove Mountains 022306,L6,0.81,2003,not found,not found,not found,not found
Grove Mountains 022307,L5,0.44,2003,not found,not found,not found,not found
Grove Mountains 022308,L6,0.6,2003,not found,not found,not found,not found
Grove Mountains 022310,L5,0.47,2003,not found,not found,not found,not found
Grove Mountains 022311,L5,0.45,2003,not found,not found,not found,not found
Grove Mountains 022317,L6,13.41,2003,not found,not found,not found,not found
Grove Mountains 022318,L6,5.79,2003,not found,not found,not found,not found
Grove Mountains 022319,L6,4.53,2003,not found,not found,not found,not found
Grove Mountains 022321,L6,2.16,2003,not found,not found,not found,not found
Grove Mountains 022324,H5,8.36,2003,not found,not found,not found,not found
Grove Mountains 022325,L6,1.01,2003,not found,not found,not found,not found
Grove Mountains 022326,L6,1,2003,not found,not found,not found,not found
Grove Mountains 022327,L6,0.69,2003,not found,not found,not found,not found
Grove Mountains 022329,H5,0.48,2003,not found,not found,not found,not found
Grove Mountains 022334,L6,2.2,2003,not found,not found,not found,not found
Grove Mountains 022337,L6,1.2,2003,not found,not found,not found,not found
Grove Mountains 022339,H4,1,2003,not found,not found,not found,not found
Grove Mountains 022343,L6,0.61,2003,not found,not found,not found,not found
Grove Mountains 022344,L6,0.47,2003,not found,not found,not found,not found
Grove Mountains 022346,L6,0.44,2003,not found,not found,not found,not found
Grove Mountains 022347,L5,0.48,2003,not found,not found,not found,not found
Grove Mountains 022348,L5,0.47,2003,not found,not found,not found,not found
Grove Mountains 022355,L6,1.6,2003,not found,not found,not found,not found
Grove Mountains 022356,L5,1.31,2003,not found,not found,not found,not found
Grove Mountains 022357,L6,1.22,2003,not found,not found,not found,not found
Grove Mountains 022359,L6,1.2,2003,not found,not found,not found,not found
Grove Mountains 022360,L6,0.92,2003,not found,not found,not found,not found
Grove Mountains 022361,L6,0.66,2003,not found,not found,not found,not found
Grove Mountains 022365,L5,0.56,2003,not found,not found,not found,not found
Grove Mountains 022369,L5,0.65,2003,not found,not found,not found,not found
Grove Mountains 022380,H5,1.53,2003,not found,not found,not found,not found
Grove Mountains 022381,H5,0.8,2003,not found,not found,not found,not found
Grove Mountains 022383,H4,0.89,2003,not found,not found,not found,not found
Grove Mountains 022387,L5,2.26,2003,not found,not found,not found,not found
Grove Mountains 022388,L5,18.15,2003,not found,not found,not found,not found
Grove Mountains 022389,L6,4.56,2003,not found,not found,not found,not found
Grove Mountains 022390,L5,4.53,2003,not found,not found,not found,not found
Grove Mountains 022391,H5,3.49,2003,not found,not found,not found,not found
Grove Mountains 022392,L6,2.58,2003,not found,not found,not found,not found
Grove Mountains 022393,H5,2.48,2003,not found,not found,not found,not found
Grove Mountains 022395,L6,2.06,2003,not found,not found,not found,not found
Grove Mountains 022397,H4,1.51,2003,not found,not found,not found,not found
Grove Mountains 022398,L6,0.98,2003,not found,not found,not found,not found
Grove Mountains 022399,H4,0.7,2003,not found,not found,not found,not found
Grove Mountains 022402,L6,63.22,2003,not found,not found,not found,not found
Grove Mountains 022403,H4,386.3,2003,not found,not found,not found,not found
Grove Mountains 022404,L6,6.85,2003,not found,not found,not found,not found
Grove Mountains 022405,L5,6.38,2003,not found,not found,not found,not found
Grove Mountains 022406,L6,2.53,2003,not found,not found,not found,not found
Grove Mountains 022407,L6,25.99,2003,not found,not found,not found,not found
Grove Mountains 022408,L5,29.05,2003,not found,not found,not found,not found
Grove Mountains 022409,H4,18.82,2003,not found,not found,not found,not found
Grove Mountains 022410,H3,4.25,2003,not found,not found,not found,not found
Grove Mountains 022411,L6,8.28,2003,not found,not found,not found,not found
Grove Mountains 022412,L6,6.08,2003,not found,not found,not found,not found
Grove Mountains 022413,L5,4.31,2003,not found,not found,not found,not found
Grove Mountains 022414,L5,5.53,2003,not found,not found,not found,not found
Grove Mountains 022415,H4,4,2003,not found,not found,not found,not found
Grove Mountains 022416,L5,4.13,2003,not found,not found,not found,not found
Grove Mountains 022420,L6,1.78,2003,not found,not found,not found,not found
Grove Mountains 022421,H4,1.84,2003,not found,not found,not found,not found
Grove Mountains 022423,H4,1.05,2003,not found,not found,not found,not found
Grove Mountains 022424,L4,1.22,2003,not found,not found,not found,not found
Grove Mountains 022425,H6,1.16,2003,not found,not found,not found,not found
Grove Mountains 022426,L5,0.97,2003,not found,not found,not found,not found
Grove Mountains 022428,H6,0.84,2003,not found,not found,not found,not found
Grove Mountains 022429,H4,3.14,2003,not found,not found,not found,not found
Grove Mountains 022431,H5,1.34,2003,not found,not found,not found,not found
Grove Mountains 022434,L6,1.22,2003,not found,not found,not found,not found
Grove Mountains 022435,L6,0.92,2003,not found,not found,not found,not found
Grove Mountains 022442,L6,0.65,2003,not found,not found,not found,not found
Grove Mountains 022443,L5,720.9,2003,not found,not found,not found,not found
Grove Mountains 022444,L5,679.2,2003,not found,not found,not found,not found
Grove Mountains 022445,L6,115.76,2003,not found,not found,not found,not found
Grove Mountains 022446,L5,97.22,2003,not found,not found,not found,not found
Grove Mountains 022447,L6,81.16,2003,not found,not found,not found,not found
Grove Mountains 022448,L5,62.35,2003,not found,not found,not found,not found
Grove Mountains 022449,L6,31.93,2003,not found,not found,not found,not found
Grove Mountains 022450,L5,27.11,2003,not found,not found,not found,not found
Grove Mountains 022451,H6,18.53,2003,not found,not found,not found,not found
Grove Mountains 022452,L6,21.25,2003,not found,not found,not found,not found
Grove Mountains 022453,L6,16.27,2003,not found,not found,not found,not found
Grove Mountains 022454,L5,16.77,2003,not found,not found,not found,not found
Grove Mountains 022455,L3,14.75,2003,not found,not found,not found,not found
Grove Mountains 022456,L5,10.05,2003,not found,not found,not found,not found
Grove Mountains 022457,H5,10.38,2003,not found,not found,not found,not found
Grove Mountains 022459,CV3,1.1,2003,not found,not found,not found,not found
Grove Mountains 022460,L5,14.7,2003,not found,not found,not found,not found
Grove Mountains 022461,L6,3.33,2003,not found,not found,not found,not found
Grove Mountains 022462,LL6,2.62,2003,not found,not found,not found,not found
Grove Mountains 022463,L5,6.46,2003,not found,not found,not found,not found
Grove Mountains 022464,H5,1.74,2003,not found,not found,not found,not found
Grove Mountains 022466,L5,1.81,2003,not found,not found,not found,not found
Grove Mountains 022467,H5,0.48,2003,not found,not found,not found,not found
Grove Mountains 022468,H4,0.69,2003,not found,not found,not found,not found
Grove Mountains 022469,H4,1.71,2003,not found,not found,not found,not found
Grove Mountains 022472,H4,0.69,2003,not found,not found,not found,not found
Grove Mountains 022476,H5,1.8,2003,not found,not found,not found,not found
Grove Mountains 022478,H5,0.48,2003,not found,not found,not found,not found
Grove Mountains 022479,H5,0.44,2003,not found,not found,not found,not found
Grove Mountains 022485,H4,1.78,2003,not found,not found,not found,not found
Grove Mountains 022487,H5,1.84,2003,not found,not found,not found,not found
Grove Mountains 022488,H5,0.55,2003,not found,not found,not found,not found
Grove Mountains 022489,H5,0.48,2003,not found,not found,not found,not found
Grove Mountains 022491,H5,0.97,2003,not found,not found,not found,not found
Grove Mountains 022495,L6,0.45,2003,not found,not found,not found,not found
Grove Mountains 022497,H5,2.59,2003,not found,not found,not found,not found
Grove Mountains 022499,H5,0.81,2003,not found,not found,not found,not found
Grove Mountains 022502,H5,0.48,2003,not found,not found,not found,not found
Grove Mountains 022503,H6,0.45,2003,not found,not found,not found,not found
Grove Mountains 022509,H4,1.77,2003,not found,not found,not found,not found
Grove Mountains 022511,H5,0.67,2003,not found,not found,not found,not found
Grove Mountains 022526,H5,1.5,2003,not found,not found,not found,not found
Grove Mountains 022527,H6,1.17,2003,not found,not found,not found,not found
Grove Mountains 022531,H5,1.08,2003,not found,not found,not found,not found
Grove Mountains 022542,L6,3.28,2003,not found,not found,not found,not found
Grove Mountains 022543,H4,3.12,2003,not found,not found,not found,not found
Grove Mountains 022544,L5,3.28,2003,not found,not found,not found,not found
Grove Mountains 022545,L6,2.2,2003,not found,not found,not found,not found
Grove Mountains 022551,H6,0.85,2003,not found,not found,not found,not found
Grove Mountains 022552,H3,0.55,2003,not found,not found,not found,not found
Grove Mountains 022553,H4,2.12,2003,not found,not found,not found,not found
Grove Mountains 022555,L5,1.15,2003,not found,not found,not found,not found
Grove Mountains 022556,H5,1.09,2003,not found,not found,not found,not found
Grove Mountains 022557,H5,0.98,2003,not found,not found,not found,not found
Grove Mountains 022558,H4,0.8,2003,not found,not found,not found,not found
Grove Mountains 022559,L5,2.61,2003,not found,not found,not found,not found
Grove Mountains 022568,H5,1.08,2003,not found,not found,not found,not found
Grove Mountains 022569,L6,0.6,2003,not found,not found,not found,not found
Grove Mountains 022570,H6,0.45,2003,not found,not found,not found,not found
Grove Mountains 022578,H5,0.59,2003,not found,not found,not found,not found
Grove Mountains 022583,H5,0.47,2003,not found,not found,not found,not found
Grove Mountains 022593,L6,0.97,2003,not found,not found,not found,not found
Grove Mountains 022595,H4,0.66,2003,not found,not found,not found,not found
Grove Mountains 022596,L6,0.66,2003,not found,not found,not found,not found
Grove Mountains 022598,L6,0.69,2003,not found,not found,not found,not found
Grove Mountains 022599,L6,0.55,2003,not found,not found,not found,not found
Grove Mountains 022600,L6,0.81,2003,not found,not found,not found,not found
Grove Mountains 022601,H5,1.06,2003,not found,not found,not found,not found
Grove Mountains 022602,L5,0.47,2003,not found,not found,not found,not found
Grove Mountains 022604,L6,0.48,2003,not found,not found,not found,not found
Grove Mountains 022611,L6,1.05,2003,not found,not found,not found,not found
Grove Mountains 022612,L5,1.55,2003,not found,not found,not found,not found
Grove Mountains 022618,L6,1.36,2003,not found,not found,not found,not found
Grove Mountains 022619,L6,0.59,2003,not found,not found,not found,not found
Grove Mountains 022620,L6,0.68,2003,not found,not found,not found,not found
Grove Mountains 022622,L6,1.5,2003,not found,not found,not found,not found
Grove Mountains 022623,L6,0.56,2003,not found,not found,not found,not found
Grove Mountains 022627,L6,0.82,2003,not found,not found,not found,not found
Grove Mountains 022629,L6,0.48,2003,not found,not found,not found,not found
Grove Mountains 022631,L6,0.6,2003,not found,not found,not found,not found
Grove Mountains 022632,L6,1.16,2003,not found,not found,not found,not found
Grove Mountains 022633,L5,0.68,2003,not found,not found,not found,not found
Grove Mountains 022634,L6,1.05,2003,not found,not found,not found,not found
Grove Mountains 022636,L6,0.89,2003,not found,not found,not found,not found
Grove Mountains 022638,L6,0.55,2003,not found,not found,not found,not found
Grove Mountains 022640,L6,0.82,2003,not found,not found,not found,not found
Grove Mountains 022641,H5,1.05,2003,not found,not found,not found,not found
Grove Mountains 022646,L6,0.47,2003,not found,not found,not found,not found
Grove Mountains 022650,L6,0.55,2003,not found,not found,not found,not found
Grove Mountains 022651,L5,0.63,2003,not found,not found,not found,not found
Grove Mountains 022661,L6,0.59,2003,not found,not found,not found,not found
Grove Mountains 022662,L5,0.69,2003,not found,not found,not found,not found
Grove Mountains 022663,H5,0.68,2003,not found,not found,not found,not found
Grove Mountains 022665,H4,1.57,2003,not found,not found,not found,not found
Grove Mountains 022666,H4,1,2003,not found,not found,not found,not found
Grove Mountains 022667,H6,0.6,2003,not found,not found,not found,not found
Grove Mountains 022672,H5,0.63,2003,not found,not found,not found,not found
Grove Mountains 022675,H5,0.65,2003,not found,not found,not found,not found
